Time,Open,High,Low,Last,Change,%Chg,Volume
07/12/2018,168.07,168.25,166.64,167.92,0.81,+0.48%,19617500
07/13/2018,167.85,168.73,167.42,167.42,-0.5,-0.30%,15409800
07/16/2018,167.76,168.03,165.96,166.77,-0.65,-0.39%,15946900
07/17/2018,166.75,168,166.59,167.51,0.74,+0.44%,15134700
07/18/2018,167.36,168.06,166.57,167.98,0.47,+0.28%,13780000
07/19/2018,167.77,169.25,167.26,169.17,1.19,+0.71%,18398200
07/20/2018,168.8,169.31,168.35,168.48,-0.69,-0.41%,17570800
07/23/2018,168.3,169.15,167.81,168.69,0.21,+0.12%,12335000
07/24/2018,169.45,169.755,166.22,166.89,-1.8,-1.07%,25831300
07/25/2018,166.94,167.5,166.14,167.5,0.61,+0.37%,18418100
07/26/2018,167.66,169.365,167.51,168.4,0.9,+0.54%,20944200
07/27/2018,168.5,168.72,164.79,165.26,-3.14,-1.86%,28782600
07/30/2018,165.25,166.02,164.07,164.2,-1.06,-0.64%,20093700
07/31/2018,164.53,166.62,164.39,165.87,1.67,+1.02%,23567200
08/01/2018,165.7,166.24,164.495,165.76,-0.11,-0.07%,17942500
08/02/2018,164.96,167.21,164.94,166.97,1.21,+0.73%,18292100
08/03/2018,167.15,167.68,165.61,166.39,-0.58,-0.35%,21735100
08/06/2018,166.27,167.51,165.9,167.32,0.93,+0.56%,16288700
08/07/2018,167.89,168.49,167.6,167.72,0.4,+0.24%,15045700
08/08/2018,167.72,167.985,166.49,167.57,-0.15,-0.09%,14792500
08/09/2018,167.65,168.71,167.55,168,0.43,+0.26%,10437700
08/10/2018,167.05,168.665,166.96,167.53,-0.47,-0.28%,20521900
08/13/2018,167.74,168.05,165.88,166.55,-0.98,-0.58%,20518200
08/14/2018,166.91,168.6,166.89,168.2,1.65,+0.99%,17683000
08/15/2018,167.7,167.82,165.15,166.09,-2.11,-1.25%,27479900
08/16/2018,166.86,168.17,166.69,167.63,1.54,+0.93%,15484700
