account,entry_collect,entry_collect.acc_volum,entry_collect.am_range,entry_collect.atr,entry_collect.avol,entry_collect.div_amount,entry_collect.entry_mins,entry_collect.entry_range,entry_collect.exchange,entry_collect.is_ETF,entry_collect.open,entry_collect.pm_end,entry_collect.pm_start,entry_collect.pm_volume,entry_collect.post_end,entry_collect.post_start,entry_collect.post_volume,entry_collect.rvol,entry_collect.rvol1,entry_collect.rvol2,entry_collect.rvol3,entry_collect.rvol4,entry_collect.spy_range,entry_collect.symbol_universe,entry_collect.three_day_open,entry_collect.trade_number,entry_collect.yVolume,entry_collect.z_yHigh,entry_fees,entry_pl,entry_price,entry_shares,entry_side,entry_time,exit_collect,exit_collect.high_in_trade,exit_collect.rvol,exit_collect.rvol_flag,exit_collect.step,exit_fees,exit_price,exit_shares,exit_side,exit_time,matched_shares,mtm_pl,symbol
default_account,,67165.0,0.1077854329,1.8555099964,902181.0,0.0,2.0,0.2640771889,N,False,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7323141098,1.5115147829,0.7841684818,1.1821801662,0.9046604037,,375.0,0.0187993466,1.0,995445.0,0.0161674038,3.2,-1280.0,64.5,2000.0,1.0,2019-12-18 09:37:22.509700,,64.6999969482,1.6955493689,1.0,-1.0,10.42,63.86,-2000.0,-1.0,2019-12-18 09:51:40.526700,2000.0,-1280.0,WWE
default_account,,125716.0,0.3596535023,3.1694400311,1579569.0,0.0,5.0,0.4069797523,Q,False,62.3300018311,28.0,8.0,526.0,164.0,0.0,93692.0,2.0393788815,4.4057354927,5.6684160233,5.1511554718,3.8828341961,,375.0,0.0226170869,2.0,1747621.0,0.069412074,3.1,-2459.9876355,63.2799987793,1937.0,1.0,2019-12-18 09:40:23.767700,,63.3399009705,1.1995925903,1.0,-1.0,10.02,62.01,-1937.0,-1.0,2019-12-18 09:57:29.171700,1937.0,-2459.9876355,TNDM
default_account,,53759.0,0.3670008596,1.2534005642,513361.0,0.0,4.0,0.3749747724,N,False,107.040000915,0.0,0.0,0.0,0.0,0.0,0.0,2.9839708805,24.2322330475,12.1287508011,8.2623472214,6.2937698364,,384.0,0.009210486,2.0,304816.0,0.079781737,3.2,-999.994506836,107.379997253,2000.0,1.0,2014-01-17 09:39:54.191700,,107.550003052,1.7018339634,1.0,-1.0,12.3,106.88,-2000.0,-1.0,2014-01-17 09:48:20.870700,2000.0,-999.994506836,LLL
default_account,,561415.0,0.4635174297,1.3591662645,2607553.0,0.0,10.0,0.5665213029,N,False,114.080001831,28.0,5.0,705.0,0.0,0.0,0.0,3.6643006802,49.3634109497,25.060459137,16.8304977417,12.8856630325,,384.0,0.0164342052,3.0,2653175.0,0.0220714567,5.19,-941.340990601,114.430000305,3246.0,1.0,2014-01-17 09:45:11.543700,,114.440002441,1.6193265915,1.0,-1.0,20.47,114.14,-3246.0,-1.0,2014-01-17 10:15:19.302700,3246.0,-941.340990601,UTX
default_account,,70966.0,0.1060559597,1.6972200871,498325.0,0.0,13.0,0.324058878,P,True,45.0099983215,0.0,0.0,0.0,0.0,0.0,0.0,2.0159506798,2.5108618736,1.689363718,1.1767388582,1.1767388582,,384.0,0.0263929195,4.0,632944.0,0.1811195567,3.2,-420.0,45.5,2000.0,1.0,2014-01-17 09:48:27.637700,,45.4799995422,1.4335083961,1.0,-1.0,9.61,45.29,-2000.0,-1.0,2014-01-17 10:18:31.003700,2000.0,-420.0,EDZ
default_account,,1075713.0,0.0,1.1375904083,401550.0,0.0,36.0,0.4834790627,Q,False,28.9500007629,0.0,0.0,0.0,0.0,0.0,0.0,16.5641002655,0.4724508226,0.4724508226,0.4724508226,0.1183815598,,384.0,0.0374558799,5.0,141294.0,0.0879054366,3.2,1120.00183105,29.4599990845,2000.0,1.0,2014-01-17 10:11:10.039700,,30.4200000763,4.3862829208,,1.0,8.95,30.02,-2000.0,-1.0,2014-01-17 15:30:05.006700,2000.0,1120.00183105,HTHT
default_account,,569598.0,0.3293531234,0.8197901845,1410253.0,0.0,1.0,0.353750168,Q,False,59.1800003052,0.0,0.0,0.0,0.0,0.0,0.0,17.3101501465,103.676345825,51.83177948,34.5285186768,25.9104499817,,384.0,0.0100511098,1.0,1130755.0,0.0457462038,6.78,720.284181366,59.3100013733,4237.0,1.0,2014-01-17 09:36:24.122700,,59.7299995422,1.0138604641,,1.0,21.68,59.48,-4237.0,-1.0,2014-01-17 15:30:03.966700,4237.0,720.284181366,PCAR
default_account,,343085.0,0.7520454279,0.3324267268,753677.0,0.0,22.0,0.8422872071,N,False,34.8300018311,0.0,0.0,0.0,0.0,0.0,0.0,4.2791399956,4.5648517609,2.3341970444,1.9537410736,1.4980126619,,425.0,0.0094882646,6.0,885791.0,0.1203300225,3.2,-59.9978637695,35.1199989319,2000.0,1.0,2013-12-09 09:57:54.396700,,35.1699981689,2.2290897369,1.0,-1.0,9.17,35.09,-2000.0,-1.0,2013-12-09 11:23:08.167700,2000.0,-59.9978637695,LPS
default_account,,355295.0,0.3452100353,1.4483935833,2093009.0,0.0,12.0,0.3452100353,N,False,35.6199989319,25.0,21.0,1200.0,0.0,0.0,0.0,2.5459024906,30.2454147339,15.354183197,10.3611316681,7.8160939217,,425.0,0.0315185795,3.0,4668079.0,0.0069030419,8.0,-2750.0,36.0,5000.0,1.0,2013-12-09 09:47:46.404700,,36.0499992371,2.0788578987,1.0,-1.0,22.96,35.45,-5000.0,-1.0,2013-12-09 09:58:53.406700,5000.0,-2750.0,SLCA
default_account,,287218.0,0.281106101,0.7826269865,1832253.0,0.0,13.0,0.30665677,Q,False,43.4199981689,0.0,0.0,0.0,0.0,0.0,0.0,2.219060421,7.9214377403,4.2495265007,3.1641578674,2.456993103,,425.0,0.0232121413,4.0,1881433.0,0.0511110864,7.41,-185.157174683,43.6399993896,4629.0,1.0,2013-12-09 09:48:15.490700,,43.7299995422,1.523496747,1.0,-1.0,22.08,43.6,-4629.0,-1.0,2013-12-09 10:18:15.486700,4629.0,-185.157174683,MCHP
