Time,Open,High,Low,Last,Change,%Chg,Volume,1day %chg,2day %chg,3day %chg,4day %chg,5day %chg,9day %chg,13day %chg,20day %chg,% of 1day range,% of 2day range,% of 3day range,% of 4day range,% of 5day range,% of 9day range,% of 13day range,% of 20day range,1day high %above,2day high %above,3day high %above,4day high %above,5day high %above,9day high %above,13day high %above,20day high %above,1day low %above,2day low %above,3day low %above,4day low %above,5day low %above,9day low %above,13day low %above,20day low %above,1ma %above,2ma %above,3ma %above,4ma %above,5ma %above,9ma %above,13ma %above,20ma %above,49ma %above,1vwap %above,2vwap %above,3vwap %above,4vwap %above,5vwap %above,9vwap %above,13vwap %above,20vwap %above,49vwap %above
03/28/2012,83.79,84.02,82.61,83.32,-0.49,-0.58%,48841200,-0.02386,-0.72275,1.34253,2.02119,1.03702,0.86674,2.68382,3.38063,-91.20879,-67.30769,48.97361,48.97361,48.97361,48.97361,58.57143,72.16,-1.02764,-1.02764,-1.02764,-1.02764,-1.02764,-1.02764,-1.02764,-1.02764,0.04776,0.2033,3.12615,3.12615,3.12615,3.12615,4.1387,6.86137,-0.33701,-0.38835,0.35799,0.78686,0.81981,0.84246,1.25743,2.29853,3.04437,-0.33701,-0.39604,0.09951,0.73541,0.77401,0.79068,1.23447,2.45639,3.11324
03/29/2012,82.73,83.22,82.01,83.08,-0.24,-0.29%,45625000,-0.70811,-1.28863,-1.97867,0.06047,0.73055,-0.3253,1.58399,1.54658,-82.97872,-88.29268,-88.29268,-13.19648,-13.19648,-13.19648,-6.92521,38.24,-1.53535,-2.27971,-2.27971,-2.27971,-2.27971,-2.27971,-2.27971,-2.27971,0.14526,0.14526,0.14526,1.82154,1.82154,1.82154,2.07279,5.5095,-0.70414,-1.153,-1.33572,-0.85982,-0.53143,-0.50999,-0.20105,0.90234,1.58484,-0.70414,-1.1179,-1.3419,-1.03805,-0.57333,-0.57726,-0.26367,1.06203,1.65331
03/30/2012,83.59,83.6,82.53,82.81,-0.27,-0.32%,45904600,0.61387,0.32405,-0.2625,-0.95972,1.10063,-0.13142,0.63809,4.16199,161.15702,57.21393,19.24528,19.24528,37.2434,37.2434,37.2434,65.76,0.4446,-0.51178,-1.26388,-1.26388,-1.26388,-1.26388,-1.26388,-1.26388,1.92659,1.92659,1.92659,1.92659,2.88,2.88,2.88,6.6063,0.9907,0.65829,0.24384,0.01196,0.33369,0.55156,0.7152,1.88684,2.52018,0.9907,0.64701,0.26944,-0.00985,0.19595,0.48564,0.69126,2.05092,2.61564
04/02/2012,82.54,83.86,82.38,83.83,1.02,+1.23%,52757300,-0.32605,-0.64998,-0.93615,-1.51533,-2.20379,-0.49427,0.19422,2.73836,-98.13084,-33.33333,-47.26368,-60.0,-60.0,-24.34018,-24.34018,32.16,-1.26794,-1.26794,-1.76149,-2.50413,-2.50413,-2.50413,-2.50413,-2.50413,0.01212,0.64626,0.64626,0.64626,0.64626,1.58769,1.58769,5.26719,-0.53025,-0.40422,-0.58084,-0.89452,-1.10232,-0.62738,-0.5926,0.45986,1.11192,-0.53025,-0.40461,-0.58881,-0.87456,-1.12515,-0.6618,-0.63011,0.59149,1.22116
04/03/2012,83.66,84,82.93,83.27,-0.56,-0.67%,52014400,-0.20279,1.02645,0.69812,0.40807,-0.17898,0.88026,0.71024,6.24841,72.97297,72.97297,78.37838,64.1791,24.5283,41.34897,41.34897,68.0,-0.23849,-0.23849,-0.23849,-0.42847,-1.1812,-1.1812,-1.1812,-1.1812,1.55378,1.55378,2.01195,2.01195,2.01195,2.96615,2.96615,6.69557,0.3639,0.59117,0.75202,0.66682,0.43298,0.66491,0.6801,1.61874,2.35147,0.3639,0.57535,0.7329,0.65157,0.44653,0.63326,0.63972,1.76142,2.48084
04/04/2012,82.37,82.43,81.45,81.94,-1.33,-1.60%,65172300,-1.08082,-1.74162,-0.53134,-0.8546,-1.14018,0.29222,-0.75904,3.63613,-204.6729,-101.23457,-101.23457,-63.8191,-64.1791,-34.31085,-34.31085,22.10884,-1.94048,-1.94048,-1.94048,-1.94048,-1.96382,-2.70494,-2.70494,-2.70494,-0.67527,-0.01214,-0.01214,0.43897,0.43897,1.37846,1.37846,4.55699,-1.23501,-1.20935,-1.05177,-0.91026,-0.95553,-0.94027,-0.93287,-0.21946,0.64275,-1.23501,-1.20916,-1.06522,-0.93057,-0.97161,-0.97168,-0.98434,-0.2164,0.76829
04/05/2012,81.6,82,81.42,81.58,-0.36,-0.44%,31978600,-0.41494,-2.00552,-2.66015,-1.46118,-1.78142,-1.30624,-2.50896,1.35387,-69.38776,-88.23529,-88.23529,-88.23529,-88.23529,-79.47214,-79.47214,-15.25424,-1.00691,-2.85714,-2.85714,-2.85714,-2.85714,-3.61446,-3.61446,-3.61446,0.18416,0.18416,0.18416,0.18416,0.18416,0.43077,0.43077,2.83554,-0.41494,-1.2943,-1.56684,-1.59091,-1.55549,-1.84924,-1.76504,-1.31161,-0.37085,-0.41494,-1.19634,-1.48098,-1.51976,-1.50124,-1.85931,-1.77486,-1.33032,-0.27311
04/09/2012,80.09,80.57,79.85,80.24,-1.34,-1.64%,50063100,-1.82643,-2.25775,-3.8189,-4.46141,-3.28463,-5.10664,-3.44786,-1.85049,-558.62069,-363.36634,-203.10078,-203.10078,-203.10078,-182.09877,-168.03519,-117.61905,-2.32927,-2.83877,-4.65476,-4.65476,-4.65476,-5.39806,-5.39806,-5.39806,-1.63351,-1.63351,-1.63351,-1.63351,-1.63351,-1.63351,-1.42769,-0.45986,-1.93061,-2.09445,-2.72732,-3.02798,-3.11928,-3.59163,-3.40875,-3.22464,-2.2726,-1.93061,-2.15031,-2.7922,-3.08912,-3.16228,-3.61737,-3.43483,-3.24947,-2.18218
04/10/2012,79.92,80.16,78.14,78.35,-1.89,-2.36%,101231104,-0.3988,-2.03481,-2.46522,-4.02306,-4.6642,-4.64145,-3.62957,-1.8664,-80.55556,-93.48837,-94.57364,-96.62651,-96.62651,-97.0894,-97.0894,-97.0894,-0.80675,-2.53659,-3.04501,-4.85714,-4.85714,-5.59887,-5.59887,-5.59887,0.08766,0.08766,0.08766,0.08766,0.08766,0.08766,0.08766,0.08766,-0.37397,-1.26426,-1.66785,-2.30625,-2.67506,-3.28662,-3.36994,-3.36096,-2.49938,-0.37397,-1.06938,-1.69222,-2.35212,-2.72824,-3.27478,-3.3836,-3.40172,-2.41199
04/11/2012,79.01,79.57,78.85,79.46,1.11,+1.42%,54348800,0.84237,-1.5329,-3.15028,-3.57579,-5.11589,-5.17283,-3.79886,-4.87599,-13.86139,-28.39506,-54.92228,-59.44056,-70.30717,-70.40816,-73.31288,-73.31288,-1.43463,-1.9362,-3.64634,-4.14897,-5.94048,-5.96287,-6.67375,-6.67375,1.11339,1.11339,1.11339,1.11339,1.11339,1.11339,1.11339,1.11339,0.16057,-0.6809,-1.55335,-2.06687,-2.7234,-3.71592,-4.10304,-4.31149,-3.60636,0.16057,-0.3979,-0.90816,-1.62211,-2.27245,-3.33499,-3.79993,-4.10902,-3.4416
